MAKE,MODEL,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE CAPACITY ,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
BMW,3-Series 330i M Sport Edition,118725,2020,14000,Petrol,Automatic,White,First,Individual,1998,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633,1811,1429,5,57
Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,9125,2014,76000,Petrol,Manual,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
BMW,2 Series Gran Coupe 220d M Sport [2020-2021],107500,2020,11000,Diesel,Automatic,Blue,First,Individual,1995,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4526,1800,1420,5,50
Maruti Suzuki,Vitara Brezza VDi,20625,2019,81300,Diesel,Manual,White,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48
Volkswagen,Polo GT TDI,8125,2013,76000,Diesel,Manual,White,First,Individual,1598,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,3970,1682,1453,5,45
Tata,Tiago Revotron XM (O) [2016-2019],10000,2018,91460,Petrol,Manual,Black,First,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Land Rover,Evoque HSE Dynamic,90000,2018,45000,Diesel,Automatic,Blue,First,Individual,1999,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360,2120,1635,5,57
Mahindra,Scorpio LX BS-IV,16775,2013,47000,Diesel,Manual,White,First,Individual,2179,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430,1817,1975,8,60
Mercedes-Benz,GLC 220 d Progressive,85000,2018,50000,Diesel,Automatic,Blue,First,Individual,2143,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656,1890,1639,5,66
BMW,7-Series 730Ld,80000,2014,133273,Diesel,Automatic,Blue,First,Individual,2993,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,RWD,5219,1902,1481,4,
Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,19375,2017,60500,Petrol,Automatic,White,First,Individual,1197,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,4390,1699,1467,5,55
Mercedes-Benz,M-Class 350 CDI,53750,2014,81000,Diesel,Automatic,Grey,First,Individual,2987,234@3800,535@1600,AWD,4781,1911,1774,5,95
Land Rover,Discovery 2.0 HSE 4WD Diesel,117500,2020,22000,Diesel,Automatic,Red,Second,Individual,1999,237 bhp @ 4000 rpm,430 Nm @ 1400 rpm,AWD,4988,2220,1846,5,
Ford,Ikon DuraTorq 1.4 TDCi,3625,2009,88000,Diesel,Manual,White,First,Individual,1399,68@4000,160@2000,,4145,1632,1440,5,43
MINI,Cooper D 5 Door,89750,2020,19759,Diesel,Automatic,Blue,First,Individual,1496,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD,3982,1727,1425,5,44
Toyota,Corolla Altis 1.8 G,9375,2011,77000,Petrol,Manual,Silver,First,Individual,1794,132@6000,170@4200,FWD,4540,1760,1480,5,55
Hyundai,Verna Fluidic 1.6 VTVT SX AT,16125,2015,58200,Petrol,Automatic,Silver,First,Individual,1591,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370,1700,1475,5,43
Toyota,Vellfire Hybrid,287500,2022,4000,Hybrid,Automatic,Black,First,Individual,2494,115 bhp @ 4700 rpm,198 Nm @ 2800 rpm,AWD,4935,1850,1895,7,58
Maruti Suzuki,Celerio ZXi,12750,2015,42000,Petrol,Manual,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
Hyundai,Elantra 1.8 SX AT,13625,2013,63000,Petrol,Automatic,Silver,First,Individual,1797,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,4530,1775,1470,5,56
Honda,City V,20875,2018,42855,Petrol,Manual,Brown,First,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Renault,Duster 85 PS RXS 4X2 MT Diesel,24000,2018,24000,Diesel,Manual,Brown,First,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4315,1822,1695,5,50
Maruti Suzuki,Celerio VXi [2019-2020],13500,2019,34000,Petrol,Manual,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695,1600,1560,5,35
Kia,Seltos HTK Plus 1.5 iMT,36875,2022,9500,Petrol,Manual,White,First,Individual,1497,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4315,1800,1637,5,50
Jaguar,XJ 3.0 V6 Portfolio,90000,2014,32000,Diesel,Automatic,Brown,Second,Individual,2993,271 bhp @ 4000 rpm,600 Nm @ 2000 rpm,RWD,5252,1899,1457,5,83
Hyundai,Verna 1.6 CRDI SX (O),29375,2018,97000,Diesel,Manual,White,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375,1700,1475,5,43
Hyundai,Verna Fluidic 1.6 VTVT SX Opt AT,11875,2014,72900,Petrol,Automatic,Blue,Second,Individual,1591,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370,1700,1475,5,43
Audi,Q8 Celebration,247500,2021,28000,Petrol,Automatic,Silver,First,Individual,2995,335 bhp @ 5000 rpm,500 Nm @ 1370 rpm,AWD,4986,1995,1705,5,85
Maruti Suzuki,Swift LXi,16250,2022,6000,Petrol,Manual,White,First,Individual,1197,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845,1735,1530,5,37
BMW,X4 xDrive30d M Sport X [2019-2020],152500,2021,24500,Diesel,Automatic,Red,First,Corporate,2993,260 bhp @ 4000 rpm,620 Nm @ 2000 rpm,AWD,4752,1918,1621,5,68
Hyundai,i10 Sportz 1.2 AT Kappa2,9250,2013,41000,Petrol,Automatic,White,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Honda,City VX (O) MT BL,21875,2018,50000,Petrol,Manual,Silver,First,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Maruti Suzuki,DZire VDi AMT,17375,2018,66000,Diesel,Automatic,Red,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1735,1515,5,37
Tata,Harrier XZA Plus,56875,2022,38000,Diesel,Automatic,Black,First,Individual,1956,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598,1894,1706,5,50
Jeep,Compass Model S (O) 1.4 Petrol DCT,67500,2021,17000,Petrol,Automatic,Blue,First,Individual,1368,161 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4405,1818,1640,5,60
Hyundai,Verna Fluidic 1.6 CRDi SX,13625,2014,74000,Diesel,Manual,Grey,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],13500,2021,22000,Petrol,Manual,White,First,Individual,,,,,3655,1620,1675,5,32
Skoda,Rapid Style 1.6 MPI AT,27475,2018,20690,Petrol,Automatic,Red,First,Individual,1598,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,4413,1699,1466,5,55
Hyundai,Verna 1.6 CRDI SX,28125,2019,40000,Diesel,Manual,White,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375,1700,1475,5,43
Hyundai,Creta 1.6 SX Plus AT Petrol,32475,2018,50000,Petrol,Automatic,White,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
BMW,5-Series 525d Luxury Plus,40000,2013,70000,Diesel,Automatic,White,Second,Individual,1995,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899,2094,1464,5,
BMW,X6 xDrive40i M Sport,270000,2021,20000,Petrol,Automatic,Red,First,Individual,2998,335 bhp @ 5500 rpm,450 Nm @ 1500 rpm,AWD,4935,2004,1696,5,83
Maruti Suzuki,XL6 Alpha AT Petrol,29750,2020,47248,Petrol,Automatic,Blue,First,Individual,1462,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445,1775,1700,6,45
Tata,Tigor XZA Plus,19875,2021,9000,Petrol,Automatic,Brown,First,Individual,1199,84 bhp @ 6000 rpm,113 Nm @ 3300 rpm,FWD,3993,1677,1532,5,35
Hyundai,Verna Fluidic 1.6 CRDi SX,11500,2013,78000,Diesel,Manual,White,Second,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Audi,A6 35 TDI Matrix,85000,2018,51000,Diesel,Automatic,Red,First,Individual,1968,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
Hyundai,Creta E Plus 1.6 Petrol,26250,2018,34841,Petrol,Manual,White,First,Individual,1591,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270,1780,1665,5,55
Hyundai,i20 Magna 1.2,9625,2014,46000,Petrol,Manual,Maroon,First,Individual,1197,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995,1710,1505,5,45
Honda,City S Diesel,14625,2015,61000,Diesel,Manual,Grey,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Audi,A3 35 TDI Premium + Sunroof,41250,2014,55000,Diesel,Automatic,White,First,Individual,1968,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
Maruti Suzuki,Swift VXi [2014-2017],15625,2020,58736,Petrol,Manual,Blue,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],22750,2019,34000,Petrol,Manual,Blue,First,Individual,1462,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490,1730,1485,5,43
Mahindra,XUV500 W11,31875,2018,47000,Diesel,Manual,White,First,Individual,2179,153 bhp @ 3750 rpm,360 Nm @ 1750 rpm,FWD,4585,1890,1785,7,70
Hyundai,Elite i20 Magna 1.2 [2016-2017],14625,2017,47000,Petrol,Manual,Grey,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Mahindra,Thar CRDe 4x4 Non AC,25875,2017,79000,Diesel,Manual,Green,First,Individual,2498,105@3800,247@1800,AWD,3920,1710,1930,7,60
Hyundai,Elite i20 Asta 1.2 IVT,26875,2021,12020,Petrol,Automatic,White,First,Individual,1197,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
Hyundai,Creta SX 1.5 Diesel [2020-2022],41250,2020,7000,Diesel,Manual,White,First,Individual,1493,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300,1790,1635,5,50
Audi,A4 2.0 TDI (143bhp),39375,2014,15000,Diesel,Automatic,Red,First,Individual,1968,141 bhp @ 4200 rpm,320 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
BMW,X3 xDrive20d,48750,2014,82000,Diesel,Automatic,White,Second,Individual,1995,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD,4648,1881,1661,5,67
BMW,5-Series 520d Luxury Line [2017-2019],159750,2022,6000,Diesel,Automatic,Grey,First,Individual,1995,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4936,1868,1479,5,65
Hyundai,Creta 1.4 S Plus,27000,2019,68000,Diesel,Manual,White,First,Individual,1396,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270,1780,1630,5,60
Audi,Q7 45 TDI Premium Plus,137500,2017,24000,Diesel,Automatic,White,First,Individual,2967,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
Hyundai,Venue SX (O) 1.5 CRDi,27000,2020,56000,Diesel,Manual,Blue,First,Individual,1493,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,3995,1770,1605,5,45
Mahindra,XUV500 W6,20000,2015,25000,Diesel,Manual,Grey,First,Corporate,2179,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585,1890,1785,7,70
Datsun,Go Plus T,8375,2017,34000,Petrol,Manual,Brown,First,Individual,1198,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD,3995,1635,1490,7,35
Hyundai,Venue SX 1.0 Turbo iMT,29625,2021,10700,Petrol,Manual,White,First,Individual,998,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995,1770,1605,5,45
Hyundai,Elite i20 Sportz 1.2 IVT,22375,2021,25000,Petrol,Automatic,White,First,Individual,1197,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
Honda,Amaze 1.2 S CVT Petrol [2018-2020],16250,2019,54000,Petrol,Automatic,White,Second,Individual,1199,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995,1695,1501,5,35
Hyundai,i20 Sportz 1.4 CRDI,13750,2014,75000,Diesel,Manual,Maroon,First,Individual,1396,90@4000,220@1750,,3940,1710,1505,5,45
Maruti Suzuki,Baleno Delta 1.3,13750,2016,88000,Diesel,Manual,Blue,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1745,1500,5,37
Audi,Q3 35 TDI Premium + Sunroof,41250,2016,139000,Diesel,Automatic,White,Second,Individual,1968,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
Skoda,Kushaq Style 1.0L TSI MT,40000,2022,1300,Petrol,Manual,Red,First,Individual,999,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4225,1760,1612,5,50
Hyundai,Verna 1.6 VTVT SX (O),29375,2019,20000,Petrol,Manual,Black,First,Individual,1591,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375,1700,1475,5,43
Mitsubishi,Pajero Select Plus AT,49875,2018,122000,Diesel,Automatic,Silver,First,Individual,2477,176 bhp @ 4000 rpm,350 Nm @ 1800 rpm,RWD,4695,1815,1840,7,70
Hyundai,Elite i20 Sportz 1.4 CRDI [2016-2017],14375,2016,38000,Diesel,Manual,Silver,First,Individual,1396,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985,1734,1505,5,45
MG,Hector Sharp 2.0 Diesel Turbo MT,49375,2021,18500,Diesel,Manual,Red,First,Individual,1956,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655,1835,1760,5,60
Hyundai,Creta SX (O) 1.5 Diesel [2020-2022],40625,2022,27800,Diesel,Manual,White,First,Individual,1493,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300,1790,1635,5,50
Maruti Suzuki,Swift VXi [2014-2017],17375,2019,46027,Petrol,Manual,Blue,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Toyota,Yaris J CVT [2018-2020],21875,2018,23148,Petrol,Automatic,Red,First,Individual,1496,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,4425,1730,1495,5,42
Skoda,Octavia 1.8 TSI Style Plus AT [2017],37375,2017,28000,Petrol,Automatic,Grey,First,Individual,1798,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670,1814,1476,5,50
Maruti Suzuki,Swift ZXi AMT [2018-2019],18125,2019,11874,Petrol,Automatic,White,First,Individual,1197,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840,1735,1530,5,37
Hyundai,Creta E Plus 1.6 Petrol,21875,2017,50000,Petrol,Manual,Silver,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
BMW,5-Series 520d Modern Line,56250,2014,88000,Diesel,Automatic,Black,Third,Individual,1995,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899,2094,1464,5,
Ford,Endeavour Trend 2.2 4x2 AT,58750,2016,75000,Diesel,Automatic,White,Second,Individual,2198,158 bhp @ 3200 rpm,385 Nm @ 1600 rpm,RWD,4892,1860,1837,7,80
BMW,3-Series 320d Prestige,67250,2019,15500,Diesel,Automatic,Blue,First,Individual,1995,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
Maruti Suzuki,Ciaz VDi+ SHVS,17375,2016,82445,Diesel,Manual,Grey,Second,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490,1730,1485,5,43
Honda,City V,15000,2014,75574,Petrol,Manual,Others,Second,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Maruti Suzuki,Wagon R LXI CNG,9375,2015,64000,CNG,Manual,Silver,First,Individual,998,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Hyundai,i10 Sportz 1.2 Kappa2,7875,2012,75000,Petrol,Manual,White,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Ford,Ecosport Trend 1.5 Ti-VCT,19375,2019,14095,Petrol,Manual,White,First,Individual,1499,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999,1765,1708,5,52
Audi,A6 35 TDI Matrix,76875,2017,17000,Diesel,Automatic,White,First,Individual,1968,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
Renault,Duster 110 PS RxZ Diesel,10375,2014,70000,Diesel,Manual,White,First,Individual,1461,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315,1822,1695,5,50
Maruti Suzuki,Ertiga ZDI + SHVS,19125,2017,68000,Diesel,Manual,Grey,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4296,1695,1685,7,45
Maruti Suzuki,Swift VXi [2014-2017],13000,2018,40000,Petrol,Manual,Grey,Second,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Jaguar,XJ 3.0 V6 Portfolio,97500,2015,39000,Diesel,Automatic,Black,First,Individual,2993,271 bhp @ 4000 rpm,600 Nm @ 2000 rpm,RWD,5252,1899,1457,5,83
Hyundai,Creta 1.6 SX,21250,2016,72000,Diesel,Manual,Red,First,Individual,1582,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
Maruti Suzuki,Ertiga VDI SHVS,24250,2016,39000,Diesel,Manual,Blue,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4296,1695,1685,7,45
Maruti Suzuki,Baleno Delta 1.3,14375,2016,62000,Diesel,Manual,Blue,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1745,1500,5,37
Ford,Endeavour Sport 2.0 4x4 AT,97500,2021,41086,Diesel,Automatic,White,Second,Individual,1996,168 bhp @ 3500 rpm,420 Nm @ 2000 rpm,AWD,4903,1869,1837,7,80
BMW,3-Series 320d Luxury Line,34875,2013,65000,Diesel,Automatic,Black,Second,Individual,1995,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
Skoda,Kushaq Style 1.0L TSI AT,40625,2021,7900,Petrol,Automatic,Silver,First,Individual,999,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4225,1760,1612,5,50
Kia,Sonet GTX Plus 1.5 AT [2020-2021],37475,2021,22000,Diesel,Automatic,Red,First,Individual,1493,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,3995,1790,1647,5,45
Volkswagen,Tiguan Highline TDI,51250,2018,73000,Diesel,Automatic,White,Second,Individual,1968,141 bhp @ 4000 rpm,340 Nm @ 1750 rpm,AWD,4486,1839,1672,5,71
Skoda,Octavia 1.8 TSI Style Plus AT [2017],32500,2016,55000,Petrol,Automatic,Grey,Second,Individual,1798,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670,1814,1476,5,50
Skoda,Superb L&K TDI AT,79975,2019,6900,Diesel,Automatic,Grey,First,Individual,1968,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861,1864,1483,5,66
Maruti Suzuki,Swift LXi,11250,2017,65000,Petrol,Manual,Grey,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Honda,Mobilio RS Diesel,16875,2015,48000,Diesel,Manual,White,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4386,1683,1603,7,42
Maruti Suzuki,Alto 800 Lxi,7000,2018,48000,Petrol,Manual,Silver,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Wagon R LXI ABS,10625,2018,18000,Petrol,Manual,Grey,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Rolls-Royce,Ghost Extended Wheelbase,500000,2011,27000,Petrol,Automatic,Blue,Third,Individual,6592,570 bhp @ 5250 rpm,780 Nm @ 1500 rpm,RWD,5569,1948,1550,5,82.5
Mercedes-Benz,C-Class 220 BlueEfficiency,31250,2012,78000,Diesel,Automatic,White,First,Individual,2143,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD,4596,1770,1447,5,66
Hyundai,Santa Fe 2WD AT [2014-2017],29375,2014,87938,Diesel,Automatic,White,Second,Individual,2199,194 bhp @ 3800 rpm,437 Nm @ 1800 rpm,AWD,4690,1880,1690,7,64
Hyundai,Santro Sportz CNG [2018-2020],13625,2019,43000,CNG,Manual,Silver,First,Individual,1086,58 bhp @ 5500 rpm,84 Nm @ 4500 rpm,FWD,3610,1645,1560,5,60
Mercedes-Benz,C-Class 220 CDI Elegance AT,12375,2008,95200,Diesel,Automatic,Grey,First,Corporate,2148,170@3700,410@2000,RWD,4581,1770,1447,5,66
Maruti Suzuki,Swift DZire VXI,12500,2016,26000,Petrol,Manual,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Maruti Suzuki,Celerio VXi AMT,9750,2015,70000,Petrol,Automatic,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],14375,2019,31000,CNG,Manual,Grey,First,Individual,998,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3655,1620,1675,5,60
BMW,3-Series 320d Luxury Line [2014-2016],52500,2014,103000,Diesel,Automatic,Black,Second,Individual,1995,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,
Hyundai,i10 Magna 1.2 Kappa2,6250,2012,54556,Petrol,Manual,White,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Maruti Suzuki,DZire VXi,17125,2019,74000,Petrol,Manual,Blue,First,Individual,1197,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3995,1735,1515,5,37
Renault,Kwid RXT [2015-2019],8000,2016,64000,Petrol,Manual,Silver,First,Individual,799,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679,1579,1478,5,28
Maruti Suzuki,S-Cross Delta 1.6,15500,2016,85000,Diesel,Manual,White,Second,Individual,1598,118 bhp @ 3750 rpm,320 Nm @ 1750 rpm,FWD,4300,1765,1590,5,48
Maruti Suzuki,Swift VXi [2014-2017],15000,2018,54000,Petrol,Manual,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Jeep,Compass Longitude (O) 1.4 Petrol AT [2019-2020],43750,2019,57000,Petrol,Automatic,Silver,First,Individual,1368,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395,1818,1640,5,60
Land Rover,Discovery Sport SE,123750,2018,38000,Diesel,Automatic,White,First,Individual,1999,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4600,2173,1690,7,65
Hyundai,Creta 1.6 SX Plus AT,25375,2015,68566,Diesel,Automatic,White,First,Individual,1582,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
Toyota,Corolla Altis 1.8 G,9750,2009,68195,Petrol,Manual,White,First,Individual,1794,132@6000,170@4200,FWD,4540,1760,1480,5,55
Maruti Suzuki,Ciaz Delta 1.4 MT,18875,2017,57000,Petrol,Manual,White,First,Individual,1373,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490,1730,1485,5,43
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],45625,2021,45000,Petrol,Automatic,White,First,Individual,1353,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4300,1790,1635,5,50
Maruti Suzuki,Celerio VXi AMT,10400,2014,60116,Petrol,Automatic,Grey,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
Maruti Suzuki,Swift DZire ZDi BS-IV,8125,2010,82202,Diesel,Manual,White,Second,Individual,1248,75@4000,190@2000,FWD,4160,1690,1530,5,43
Maruti Suzuki,Wagon R LXi Minor,5450,2008,51000,Petrol,Manual,Gold,Second,Individual,1061,67@6200,84@3500,FWD,3520,1475,1690,5,35
Mercedes-Benz,CLA 200 CDI Sport,70000,2018,24000,Diesel,Automatic,Red,First,Individual,2143,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630,1777,1432,5,
Maruti Suzuki,Ciaz VDi (O) SHVS,16250,2017,86000,Diesel,Manual,White,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490,1730,1485,5,43
Honda,WR-V S MT Diesel,19750,2018,41000,Diesel,Manual,Silver,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3999,1734,1601,5,40
Honda,City SV Diesel,13500,2015,76000,Diesel,Manual,Red,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Maruti Suzuki,Swift VDi,9375,2011,120000,Diesel,Manual,Silver,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850,1695,1530,5,42
BMW,X1 sDrive20i xLine,99750,2021,12500,Petrol,Automatic,White,First,Individual,1998,189 bhp @ 5000 rpm,280 Nm @ 1350 rpm,FWD,4447,1821,1598,5,51
Porsche,718 Boxster,272500,2018,6300,Petrol,Automatic,Grey,First,Corporate,1988,295 bhp @ 6500 rpm,380 Nm @ 2150 rpm,RWD,4379,1801,1281,2,54
Maruti Suzuki,Swift DZire VXi,6125,2009,114000,Petrol,Manual,Gold,First,Individual,1298,87@6000,113@4500,FWD,4160,1690,1530,5,43
Maruti Suzuki,Celerio LXi,6500,2015,25862,Petrol,Manual,Blue,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
